image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0137	urn:cite:ogl:modena_alfa_t_8_21.folio.69r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0138	urn:cite:ogl:modena_alfa_t_8_21.folio.69v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0139	urn:cite:ogl:modena_alfa_t_8_21.folio.70r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0140	urn:cite:ogl:modena_alfa_t_8_21.folio.70v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0141	urn:cite:ogl:modena_alfa_t_8_21.folio.71r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0142	urn:cite:ogl:modena_alfa_t_8_21.folio.71v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0143	urn:cite:ogl:modena_alfa_t_8_21.folio.72r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0144	urn:cite:ogl:modena_alfa_t_8_21.folio.72v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0145	urn:cite:ogl:modena_alfa_t_8_21.folio.73r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0146	urn:cite:ogl:modena_alfa_t_8_21.folio.73v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0147	urn:cite:ogl:modena_alfa_t_8_21.folio.74r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0148	urn:cite:ogl:modena_alfa_t_8_21.folio.74v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0149	urn:cite:ogl:modena_alfa_t_8_21.folio.75r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0150	urn:cite:ogl:modena_alfa_t_8_21.folio.75v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0151	urn:cite:ogl:modena_alfa_t_8_21.folio.76r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0152	urn:cite:ogl:modena_alfa_t_8_21.folio.76v
