image URN	page URN
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0243	urn:cite:ogl:1883grclat1_v2.page.216
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0244	urn:cite:ogl:1883grclat1_v2.page.217
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0245	urn:cite:ogl:1883grclat1_v2.page.218
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0246	urn:cite:ogl:1883grclat1_v2.page.219
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0247	urn:cite:ogl:1883grclat1_v2.page.220
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0248	urn:cite:ogl:1883grclat1_v2.page.221
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0249	urn:cite:ogl:1883grclat1_v2.page.222
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0250	urn:cite:ogl:1883grclat1_v2.page.223
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0251	urn:cite:ogl:1883grclat1_v2.page.224
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0252	urn:cite:ogl:1883grclat1_v2.page.225
