Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 8.Prop.24	8.prop.					
Euc. 8.Prop.25	8.prop.					
Euc. 8.Prop.26	8.prop.					
Euc. 8.Prop.27	8.prop.					
Euc. 9.Prop.1	9.prop.					
Euc. 9.Prop.2	9.prop.					
Euc. 9.Prop.3	9.prop.					
Euc. 9.Prop.4	9.prop.					
Euc. 9.Prop.5	9.prop.					
Euc. 9.Prop.6	9.prop.					
Euc. 9.Prop.7	9.prop.					
Euc. 9.Prop.8	9.prop.					
Euc. 9.Prop.9	9.prop.					
Euc. 9.Prop.10	9.prop.					
Euc. 9.Prop.11	9.prop.					
Euc. 9.Prop.12	9.prop.					
Euc. 9.Prop.13	9.prop.					
Euc. 9.Prop.14	9.prop.					
Euc. 9.Prop.15	9.prop.					
Euc. 9.Prop.16	9.prop.					
Euc. 9.Prop.17	9.prop.					
Euc. 9.Prop.18	9.prop.					
Euc. 9.Prop.19	9.prop.					
Euc. 9.Prop.20	9.prop.					
Euc. 9.Prop.21	9.prop.					
Euc. 9.Prop.22	9.prop.					
Euc. 9.Prop.23	9.prop.					
Euc. 9.Prop.24	9.prop.					
Euc. 9.Prop.25	9.prop.					
Euc. 9.Prop.26	9.prop.					
Euc. 9.Prop.27	9.prop.					
Euc. 9.Prop.28	9.prop.					
Euc. 9.Prop.29	9.prop.					
Euc. 9.Prop.30	9.prop.					
Euc. 9.Prop.31	9.prop.					
Euc. 9.Prop.32	9.prop.					
Euc. 9.Prop.33	9.prop.					
Euc. 9.Prop.34	9.prop.					
Euc. 9.Prop.35	9.prop.					
Euc. 9.Prop.36	9.prop.					
Euc. 10.Prop 1.1	10.prop.					
Euc. 10.Prop 1.2	10.prop.					
Euc. 10.Prop 1.3	10.prop.					
Euc. 10.Prop 1.4	10.prop.					
Euc. 10.Prop 1.5	10.prop.					
	10.prop.					
Euc. 10.Prop 1.7	10.prop.					
Euc. 10.Prop 1.8	10.prop.					
Euc. 10.Prop 1.9	10.prop.					
Euc. 10.Prop 1.10	10.prop.					
Euc. 10.Prop 1.11	10.prop.					
Euc. 10.Prop 1.12	10.prop.					
Euc. 10.Prop 1.13	10.prop.					
Euc. 10.Prop 1.14	10.prop.					
Euc. 10.Prop 1.15	10.prop.					
Euc. 10.Prop 1.16	10.prop.					
Euc. 10.Prop 1.17	10.prop.					
Euc. 10.Prop 1.18	10.prop.					
Euc. 10.Prop 1.19	10.prop.					
Euc. 10.Prop 1.20	10.prop.					
Euc. 10.Prop 1.21	10.prop.					
Euc. 10.Prop 1.22	10.prop.					
Euc. 10.Prop 1.23	10.prop.					
Euc. 10.Prop 1.24	10.prop.					
Euc. 10.Prop 1.25	10.prop.					
Euc. 10.Prop 1.26	10.prop.					
Euc. 10.Prop 1.27	10.prop.					
Euc. 10.Prop 1.28	10.prop.					
Euc. 10.Prop 1.29	10.prop.					
Euc. 10.Prop 1.30	10.prop.					
Euc. 10.Prop 1.31	10.prop.					
Euc. 10.Prop 1.32	10.prop.					
Euc. 10.Prop 1.33	10.prop.					
Euc. 10.Prop 1.34	10.prop.					
Euc. 10.Prop 1.35	10.prop.					
Euc. 10.Prop 1.36	10.prop.					
Euc. 10.Prop 1.37	10.prop.					
Euc. 10.Prop 1.38	10.prop.					
Euc. 10.Prop 1.39	10.prop.					
Euc. 10.Prop 1.40	10.prop.					
Euc. 10.Prop 1.41	10.prop.					
Euc. 10.Prop 1.42	10.prop.					
Euc. 10.Prop 1.43	10.prop.					
Euc. 10.Prop 1.44	10.prop.					
Euc. 10.Prop 1.45	10.prop.					
Euc. 10.Prop 1.46	10.prop.					
Euc. 10.Prop 1.47	10.prop.					
Euc. 10.Prop 2.48	10.prop.					
Euc. 10.Prop 2.49	10.prop.					
Euc. 10.Prop 2.50	10.prop.					
